algo,n,comparisons,swaps,partitions,merges,stripChecks,recursiveCalls,maxDepth
algorithms.QuickSort,8,22,14,5,0,0,11,6
algorithms.MergeSort,7,14,0,0,6,0,13,4
DetSelect,6,13,10,2,0,0,2,2
algorithms.ClosestPair,6,6,0,0,0,1,3,2
algo,n,comparisons,swaps,partitions,merges,stripChecks,recursiveCalls,maxDepth
algorithms.QuickSort,8,22,14,5,0,0,11,6
algorithms.MergeSort,7,14,0,0,6,0,13,4
DetSelect,6,13,10,2,0,0,2,2
algorithms.ClosestPair,6,6,0,0,0,1,3,2
algo,n,comparisons,swaps,partitions,merges,stripChecks,recursiveCalls,maxDepth
algorithms.QuickSort,8,22,14,5,0,0,11,6
algorithms.MergeSort,7,14,0,0,6,0,13,4
DetSelect,6,13,10,2,0,0,2,2
algorithms.ClosestPair,6,6,0,0,0,1,3,2
algo,n,comparisons,swaps,partitions,merges,stripChecks,recursiveCalls,maxDepth
QuickSort_50,50,213,151,28,0,0,57,8
MergeSort_50,50,211,0,0,7,0,15,4
DetSelect_50,50,213,56,5,0,0,5,5
ClosestPair_50,50,58,0,0,0,17,35,6
algo,n,comparisons,swaps,partitions,merges,stripChecks,recursiveCalls,maxDepth
algorithms.QuickSort,8,14,15,5,0,0,11,4
algorithms.MergeSort,7,11,0,0,0,0,1,1
DetSelect,6,13,10,2,0,0,2,2
algorithms.ClosestPair,6,6,0,0,0,1,3,2
algo,n,comparisons,swaps,partitions,merges,stripChecks,recursiveCalls,maxDepth
QuickSort,8,14,15,5,0,0,11,4
MergeSort,7,11,0,0,0,0,1,1
DetSelect,6,13,10,2,0,0,2,2
ClosestPair,6,6,0,0,0,1,3,2
algo,n,comparisons,swaps,partitions,merges,stripChecks,recursiveCalls,maxDepth
QuickSort_20,20,57,52,12,0,0,25,6
MergeSort_20,20,64,0,0,1,0,3,2
DetSelect_20,20,99,33,6,0,0,6,6
ClosestPair_20,20,25,0,0,0,7,15,4
algo,n,comparisons,swaps,partitions,merges,stripChecks,recursiveCalls,maxDepth
QuickSort,8,14,15,5,0,0,11,4
MergeSort,7,11,0,0,0,0,1,1
DetSelect,6,13,10,2,0,0,2,2
ClosestPair,6,6,0,0,0,1,3,2
algo,n,comparisons,swaps,partitions,merges,stripChecks,recursiveCalls,maxDepth
QuickSort,8,14,15,5,0,0,11,4
MergeSort,7,11,0,0,0,0,1,1
DetSelect,6,13,10,2,0,0,2,2
ClosestPair,6,6,0,0,0,1,3,2
